"HITID","index","GithubReposityLink","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3P458N04Q1HI34VAP2LFC9730EO2XD","31","https://github.com/emsrc/algraeph","A1GKEEI844CEKI","educational","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:36:22 UTC"
"32TMVRKDGNY2RH9PL8SBPPN8TJB847","194","https://github.com/trevorgerhardt/trevorgerhardt.github.io","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:36:25 UTC"
"3ZVPAMTJWN3OL2H5FI0CPVFG9G8GRE","108","https://github.com/aliuy/grphin","A1NJ1IJLKAS0Y4","data","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:37:48 UTC"
"3BPP3MA3TCKFYQQ143DS3GL5Q84LEC","112","https://github.com/StevenSLXie/Tutorials-for-Web-Developers","A16S0KKQ2MIZHT","educational","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:37:09 UTC"
"3AQN9REUTFGU6JJ0RNRYR65GZB7DY3","101","https://github.com/Rhaptos/Products.ZPsycopgDA","A3QZMGTVA4VO44","other","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:38:12 UTC"
"3VAOOVPI3ZST4W0TLP0WGBBPZ55LLZ","179","https://github.com/reinis-berzins/tutorial-files","A1NJ1IJLKAS0Y4","educational","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:36:48 UTC"
"3W1K7D6QSBH1WCVL9D2BANQI2KZBZL","156","https://github.com/johnb30/eventscale","AVHZJ2HQJG3NB","development","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:37:56 UTC"
"3RSBJ6YZECQFAPTUC6DQDFAZXEOFO5","168","https://github.com/apache/directory-clients","A3QZMGTVA4VO44","documents","A16S0KKQ2MIZHT","other","No","no_agreement","2017-01-04 13:38:22 UTC"
"3ZLW647WALV6N6OW5DER5TIZTJN32E","41","https://github.com/e9t/uci-datasets","A1NJ1IJLKAS0Y4","development","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:37:36 UTC"
"32204AGAABCBW832JDOIBRDAM7AHGI","14","https://github.com/google/traceur-compiler","A1NJ1IJLKAS0Y4","development","A3QZMGTVA4VO44","web","No","no_agreement","2017-01-04 13:37:28 UTC"
"3UQ1LLR26A8C8D9POYB67XVE5T6LAH","124","https://github.com/NARKOZ/narkoz.github.io","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:38:22 UTC"
"3D42WVSDH8VR43XWITMOF681BONFYG","23","https://github.com/ot4i/iib-tutorials","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","educational","Yes","educational","2017-01-04 13:38:03 UTC"
"3Q7TKIAPOTAA6KC18828XY3KQW3LDJ","162","https://github.com/pkozelka/pkozelka.github.io","A1NJ1IJLKAS0Y4","other","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:36:17 UTC"
"3E24UO25QZQJRW0JBDAMJ9XM4FLO6B","158","https://github.com/CodingRainbow/Rainbow-Code","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:37:43 UTC"
"309D674SHZLOOJKBHZI3ZPPXT2DCBN","194","https://github.com/evanl/APC524_homework03","A1NJ1IJLKAS0Y4","homework","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:37:17 UTC"
"3HFWPF5AK9JZS55UZSTXWBV3RDM3SH","22","https://github.com/google/developer.github.com","ADLYO655RWJUI","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:38:17 UTC"
"3S829FDFT2156ETQMR5W8SY7X5DDXX","45","https://github.com/Swizec/github-nightowls","A1APYLD4DUK33J","development","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:37:59 UTC"
"3H5TOKO3D9JFN3Q1STVD5BRHNOL64J","40","https://github.com/mdarling/495-hw2","ADLYO655RWJUI","other","A1NJ1IJLKAS0Y4","web","No","no_agreement","2017-01-04 13:36:26 UTC"
"3RQVKZ7ZRKJOOPPJ7PHHIAUFYL927I","15","https://github.com/atduskgreg/atduskgreg.github.io","A16S0KKQ2MIZHT","documents","ADLYO655RWJUI","documents","Yes","documents","2017-01-04 13:38:27 UTC"
"3A520CCNWN0Y27ZX7CO2U25UWW5EAN","8","https://github.com/deGravity/coursera","A16S0KKQ2MIZHT","homework","A1NJ1IJLKAS0Y4","homework","Yes","homework","2017-01-04 13:39:30 UTC"
"3I7SHAD35MWEVTTCH701XJ8D4QQ7ME","215","https://github.com/untidy-hair/DB_to_Fixtures","A3QZMGTVA4VO44","data","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:38:38 UTC"
"39WSF6KUV2LN4BTYHVTKVXPZLD9EOM","57","https://github.com/apache/maven-repository-tools","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:39:25 UTC"
"3CMV9YRYP31N96CTI4OJ0WYXVG0JLV","142","https://github.com/jacktrobinson/homework10","A16S0KKQ2MIZHT","documents","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:39:28 UTC"
"3UL5XDRDNCJKN0DPZDBLUHTMTF685C","197","https://github.com/pacebl/pacebl.github.io","AJ2H4FUPQKF9E","data","A16S0KKQ2MIZHT","development","No","no_agreement","2017-01-04 13:39:28 UTC"
"311HQEI8RSGEU0SVWWQV5L4MJU87ZV","40","https://github.com/scottbromander/express_passport_lecture_start","A3QZMGTVA4VO44","educational","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:38:44 UTC"
"3FVBZG9CLJEEL4SH5BZFQZQUFQLH0F","0","https://github.com/kapehliv/homework2","A1NJ1IJLKAS0Y4","homework","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:39:05 UTC"
"39HYCOOPKOLUC2UM8K3NXBI9Q1TDMD","220","https://github.com/zabbal/zabbal.github.io","A16S0KKQ2MIZHT","documents","A3QZMGTVA4VO44","other","No","no_agreement","2017-01-04 13:39:35 UTC"
"3LVTFB9DE5IO912523BCK55BDU6GQD","96","https://github.com/awatson1978/d3-flare-demo","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:38:32 UTC"
"3HJ1EVZS2OJNRQ5HK3TS61Q75B33RT","179","https://github.com/lencse/Numerical-analysis-2011","A3QZMGTVA4VO44","educational","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:39:08 UTC"
"30P8I9JKOILIYC9276MVMVDU4D75VE","116","https://github.com/rkempter/collaborative-filtering-recommander","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","documents","No","no_agreement","2017-01-04 13:38:31 UTC"
"3DA79LNS59V075I9OSYN6GRPTW03T6","17","https://github.com/apache/continuum","A1NJ1IJLKAS0Y4","development","A16S0KKQ2MIZHT","educational","No","no_agreement","2017-01-04 13:38:28 UTC"
"36MUZ9VAE62W0E29RMF4K3D0HZ2DEO","98","https://github.com/learn-co-students/ruby-lecture-reading-error-messages-ruby-intro-kwk","A16S0KKQ2MIZHT","documents","A3QZMGTVA4VO44","educational","No","no_agreement","2017-01-04 13:39:16 UTC"
"3MJ28H2Y1E8N8S056U0HR3JM8KAO5V","209","https://github.com/mjgiarlo/mjgiarlo.github.io","A16S0KKQ2MIZHT","documents","A1NJ1IJLKAS0Y4","web","No","no_agreement","2017-01-04 13:39:18 UTC"
"3OB6JN3A9QPODCDRQLY720ZD52KMRS","67","https://github.com/google/episodes.dart","A16S0KKQ2MIZHT","educational","A3QZMGTVA4VO44","web","No","no_agreement","2017-01-04 13:39:59 UTC"
"3Y3CZJSZ9KTQ55SLYMHLLYORJ7U5RL","98","https://github.com/rmanalan/bdoc","A1NJ1IJLKAS0Y4","documents","A16S0KKQ2MIZHT","web","No","no_agreement","2017-01-04 13:39:19 UTC"
"3CVBMEMMXBGS3FS1QAKO5E0HN4RH7F","90","https://github.com/allangj/ServerThreat","A16S0KKQ2MIZHT","educational","A1NJ1IJLKAS0Y4","other","No","no_agreement","2017-01-04 13:38:39 UTC"
"3P0I4CQYVY7HLBFP2VNQH3WZSHEOWC","122","https://github.com/bxtr/calc_java","A3QZMGTVA4VO44","development","A16S0KKQ2MIZHT","homework","No","no_agreement","2017-01-04 13:39:55 UTC"
